,pptID,fileName,condition,age,gender,nationality,firstLang,trial,clipId,freetext,Competing,Cooperating,PlaySeparate,PlayTogether,leftSad,rightSad,leftHappy,rightHappy,leftAngry,rightAngry,leftExcited,rightExcited,leftCalm,rightCalm,leftFriendly,rightFriendly,leftAggressive,rightAggressive,leftEngaged,rightEngaged,leftDistracted,rightDistracted,leftBored,rightBored,leftFrustrated,rightFrustrated,leftDominant,rightDominant,leftSubmissive,rightSubmissive,diffSad,sumSad,diffHappy,sumHappy,diffAngry,sumAngry,diffExcited,sumExcited,diffCalm,sumCalm,diffFriendly,sumFriendly,diffAggressive,sumAggressive,diffEngaged,sumEngaged,diffDistracted,sumDistracted,diffBored,sumBored,diffFrustrated,sumFrustrated,diffDominant,sumDominant,diffSubmissive,sumSubmissive
289,137,3kin3lrnru1n6_data.csv,2,68,Male,American,English,2,12,playing together ,1,3,1,3,1,1,3,3,1,1,3,3,1,1,3,3,1,3,3,3,1,1,1,1,1,1,2,2,1,1,0,-2,0,2,0,-2,0,2,0,-2,0,2,2,0,0,2,0,-2,0,-2,0,-2,0,0,0,-2
290,137,3kin3lrnru1n6_data.csv,2,68,Male,American,English,3,15,playing with each other,2,2,2,3,1,1,3,3,1,1,2,1,3,2,3,3,1,3,3,3,1,1,1,1,3,1,1,3,3,1,0,-2,0,2,0,-2,1,-1,1,1,0,2,2,0,0,2,0,-2,0,-2,2,0,2,0,2,0
291,137,3kin3lrnru1n6_data.csv,2,68,Male,American,English,4,02,one was bored,2,2,1,2,2,1,1,3,1,1,1,2,3,2,2,2,1,3,1,3,1,1,3,1,3,1,1,3,3,1,1,-1,2,0,0,-2,1,-1,1,1,0,0,2,0,2,0,0,-2,2,0,2,0,2,0,2,0
292,138,3kink5j747k79_data.csv,2,28,Male,American,English,1,19,They look very happy. They are conversing with each other to figure out a combined decision on what to do on the game.,1,4,0,4,1,0,3,4,0,0,3,4,3,3,4,4,0,1,4,4,0,0,1,0,1,0,0,4,3,1,1,-3,1,3,0,-4,1,3,0,2,0,4,1,-3,0,4,0,-4,1,-3,1,-3,4,0,2,0
293,138,3kink5j747k79_data.csv,2,28,Male,American,English,2,05,They didnt seem to be interacting together very much. The girl on the left does not seem happy.,1,1,3,1,3,0,1,4,3,0,0,4,3,3,1,4,0,0,1,4,1,0,4,0,3,0,1,3,1,0,3,-1,3,1,3,-1,4,0,0,2,3,1,0,-4,3,1,1,-3,4,0,3,-1,2,0,1,-3
294,138,3kink5j747k79_data.csv,2,28,Male,American,English,3,09,The girl on the left seems excited while the girl on the right seems to be bossy,1,0,1,3,3,3,3,1,1,3,3,1,3,1,3,1,1,3,3,1,0,3,0,3,3,4,0,4,1,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,-1,3,-1,1,3,4,0,1,-3
295,138,3kink5j747k79_data.csv,2,28,Male,American,English,4,18,The boy is trying to play with the girl but she doesn't seem to want his help,1,0,3,1,1,1,3,3,1,3,4,1,1,3,3,1,1,3,3,4,3,0,1,0,3,3,0,4,1,0,0,-2,0,2,2,0,3,1,2,0,2,0,2,0,1,3,3,-1,1,-3,0,2,4,0,1,-3
296,83,40kintpkwgw4ss_data.csv,2,41,Male,American,English,1,08,There wasn't very much interaction at all. It almost seems as if they were told not to interact. ,2,2,2,1,2,1,1,2,2,1,1,3,3,3,2,2,1,1,1,3,3,1,3,1,3,1,1,3,3,1,1,-1,1,-1,1,-1,2,0,0,2,0,0,0,-2,2,0,2,0,2,0,2,0,2,0,2,0
297,83,40kintpkwgw4ss_data.csv,2,41,Male,American,English,2,15,They seemed friendly and working together. The child on the right was much more assertive and dominant. ,2,3,1,3,1,1,3,3,1,1,1,1,3,3,2,2,1,3,3,3,1,1,1,1,1,1,1,3,1,3,0,-2,0,2,0,-2,0,-2,0,2,0,0,2,0,0,2,0,-2,0,-2,0,-2,2,0,2,0
298,83,40kintpkwgw4ss_data.csv,2,41,Male,American,English,3,07,They are interacting this time. They seem kind of stand offish. The one on the right clearly wants to be the leader or dominate. The left child is having none of it. ,1,1,1,3,1,1,1,3,3,1,1,3,3,3,2,2,1,3,3,3,1,1,2,2,3,1,1,3,1,1,0,-2,2,0,2,0,2,0,0,2,0,0,2,0,0,2,0,-2,0,0,2,0,2,0,0,-2
299,83,40kintpkwgw4ss_data.csv,2,41,Male,American,English,4,09,"Once again, full on interaction this time. Seems as if they are working together towards some goal. Without seeing what the table is not sure. ",1,1,1,3,1,1,1,1,1,1,3,3,3,3,2,2,2,2,1,3,1,3,1,1,3,3,1,1,1,1,0,-2,0,-2,0,-2,0,2,0,2,0,0,0,0,2,0,2,0,0,-2,0,2,0,-2,0,-2
304,143,41kindf3yldk6s_data.csv,2,30,Male,American,English,1,15,Both of them are having a conversation as they interact.,2,2,3,1,2,1,1,3,2,2,1,3,3,2,2,1,2,2,2,2,3,1,3,2,3,1,1,3,2,2,1,-1,2,0,0,0,2,0,1,1,1,-1,0,0,0,0,2,0,1,1,2,0,2,0,0,0
305,143,41kindf3yldk6s_data.csv,2,30,Male,American,English,2,03,They are both interacting with each other on the table. Much better than the first set.,0,4,0,4,0,0,4,4,0,0,4,4,4,4,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,-4,0,4,0,-4,0,4,0,4,0,4,0,-4,0,4,0,-4,0,-4,0,-4,0,-4,0,-4
306,143,41kindf3yldk6s_data.csv,2,30,Male,American,English,3,05,The child on the left was much less engaged than the child on the right.,1,0,4,0,2,1,1,2,3,1,0,2,4,4,1,1,1,1,0,4,3,0,4,0,3,1,1,1,0,0,1,-1,1,-1,2,0,2,-2,0,4,0,-2,0,-2,4,0,3,-1,4,0,2,0,0,-2,0,-4
307,143,41kindf3yldk6s_data.csv,2,30,Male,American,English,4,19,Both children were playing and interacting with each other. There didn't seem to be any problems.,2,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,0,0,0,0,0,0,0,-2
328,133,44kinunnepbkjw_data.csv,2,34,Male,American,English,1,13,They seemed to get along well and both were having a good time. They were active. I felt like the girl in the pink jersey was the leader of the two.,1,3,1,4,0,0,3,3,0,0,3,4,1,0,3,2,1,3,4,4,0,0,0,0,1,0,1,4,3,0,0,-4,0,2,0,-4,1,3,1,-3,1,1,2,0,0,4,0,-4,0,-4,1,-3,3,1,3,-1
329,133,44kinunnepbkjw_data.csv,2,34,Male,American,English,2,20,They appear to be getting along and both are having fun. The child on the left is dominant.,0,3,0,4,0,0,3,3,0,0,3,4,3,3,2,3,0,0,4,4,0,0,0,0,0,0,4,1,0,4,0,-4,0,2,0,-4,1,3,0,2,1,1,0,-4,0,4,0,-4,0,-4,0,-4,3,1,4,0
330,133,44kinunnepbkjw_data.csv,2,34,Male,American,English,3,11,"They were active, but not to an extreme amount. They were interacting and seemed relatively happy.",1,3,1,3,1,1,2,2,1,1,2,2,3,3,3,3,1,1,3,3,1,1,1,1,1,1,2,2,2,2,0,-2,0,0,0,-2,0,0,0,2,0,2,0,-2,0,2,0,-2,0,-2,0,-2,0,0,0,0
331,133,44kinunnepbkjw_data.csv,2,34,Male,American,English,4,04,The children were getting along and interacting well with each other. I didn't see any noticeable dominance.,1,3,1,3,0,0,3,3,0,0,3,3,3,3,3,3,0,1,3,3,0,0,0,0,1,1,1,2,1,1,0,-4,0,2,0,-4,0,2,0,2,0,2,1,-3,0,2,0,-4,0,-4,0,-2,1,-1,0,-2
344,134,47kinlodv0jg5g_data.csv,2,56,Male,American,English,1,01,they seemed to be in a competition to see who could draw the most,4,1,1,3,1,1,3,3,1,1,3,3,1,1,2,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,0,-2,0,2,0,-2,0,2,0,-2,0,0,0,0,0,2,0,-2,0,-2,0,-2,0,-2,0,-2
345,134,47kinlodv0jg5g_data.csv,2,56,Male,American,English,2,04,they were happy and played very well together while smiling at each other,1,4,2,4,0,0,4,4,0,0,4,4,4,4,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,-4,0,4,0,-4,0,4,0,4,0,4,0,-4,0,4,0,-4,0,-4,0,-4,0,-4,0,-4
346,134,47kinlodv0jg5g_data.csv,2,56,Male,American,English,3,14,they seemed involved and played together fairly well and occasionally smiled,1,2,2,3,1,1,3,3,1,1,3,3,3,3,3,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,0,-2,0,2,0,-2,0,2,0,2,0,2,0,-2,0,2,0,-2,0,-2,0,-2,0,-2,0,-2
347,134,47kinlodv0jg5g_data.csv,2,56,Male,American,English,4,07,one was doing most of the activities on the table while the other was pointing and speaking,1,1,3,2,1,2,2,2,1,2,2,1,3,2,2,2,2,2,3,2,1,3,1,2,1,2,3,2,1,2,1,-1,0,0,1,-1,1,-1,1,1,0,0,0,0,1,1,2,0,1,-1,1,-1,1,1,1,-1
348,135,48kinz7p99sxvh_data.csv,2,26,Female,American,English,1,17,The little girl in the yellow vest is very happy and giggly. The girl in the pink vest seems a little more assertive and demanding. I saw her push the girl in the yellow vest's hand away when she tried to draw near her drawing.,3,1,1,1,0,1,4,1,0,3,4,0,4,1,4,0,0,4,1,4,4,4,3,0,0,4,0,4,4,0,1,-3,3,1,3,-1,4,0,3,1,4,0,4,0,3,1,0,4,3,-1,4,0,4,0,4,0
349,135,48kinz7p99sxvh_data.csv,2,26,Female,American,English,2,03,They were both very excited to be playing with the drawing board. They cooperated well together and didn't mind drawing over each other.,4,4,0,4,0,0,4,4,0,0,4,4,3,3,4,4,3,1,4,4,1,1,0,0,0,0,4,1,4,4,0,-4,0,4,0,-4,0,4,0,2,0,4,2,0,0,4,0,-2,0,-4,0,-4,3,1,0,4
350,135,48kinz7p99sxvh_data.csv,2,26,Female,American,English,3,10,They were both very friendly with one another. They drew together without any issue. They seemed to be having fun together.,1,4,0,4,0,0,4,4,0,0,4,4,4,4,4,4,0,0,4,4,1,1,0,0,0,0,1,1,3,3,0,-4,0,4,0,-4,0,4,0,4,0,4,0,-4,0,4,0,-2,0,-4,0,-4,0,-2,0,2
351,135,48kinz7p99sxvh_data.csv,2,26,Female,American,English,4,13,The girl in the pink vest became very aggressive and sort of took control of the drawing board. The girl in the yellow vest was more calm and submissive allowing the other girl to take over. She seemed like she didn't know how to react to the other girl being so aggressive so she just sat back and allowed it to happen.,1,3,1,3,1,0,3,2,0,1,1,4,3,1,4,1,0,4,3,4,3,1,1,3,1,1,0,4,4,0,1,-3,1,1,1,-3,3,1,2,0,3,1,4,0,1,3,2,0,2,0,0,-2,4,0,4,0
364,136,49kinvvzupaqxq_data.csv,2,31,Female,American,English,1,09,It almost seems like they were having a disagreement on how to do something.,3,1,3,2,0,2,3,2,1,1,3,2,3,3,2,3,3,1,3,1,0,3,0,1,3,3,3,0,0,1,2,-2,1,1,0,-2,1,1,0,2,1,1,2,0,2,0,3,-1,1,-3,0,2,3,-1,1,-3
365,136,49kinvvzupaqxq_data.csv,2,31,Female,American,English,2,12,They seemed to be playing nicely together. At first I thought the girl on the right was a bit aggressive but from the smile on the girl on the lefts face I just think they were playing well together.,2,2,1,4,0,0,4,3,0,0,4,3,4,4,4,4,1,3,4,4,0,0,0,0,1,0,1,3,1,1,0,-4,1,3,0,-4,1,3,0,4,0,4,2,0,0,4,0,-4,0,-4,1,-3,2,0,0,-2
366,136,49kinvvzupaqxq_data.csv,2,31,Female,American,English,3,02,The child on the left seemed like he wanted to play with himself and the one on the right was a bit aggressive and wanted to play with the other boy.,2,1,3,1,2,1,2,4,1,1,1,4,3,1,1,3,0,4,4,4,0,0,0,0,3,1,1,4,2,0,1,-1,2,2,0,-2,3,1,2,0,2,0,4,0,0,4,0,-4,0,-4,2,0,3,1,2,-2
