purple_child_face00_x,-0.099776047,-0.022939925
purple_child_face00_y,0.037462063,-0.089502392
purple_child_face01_x,-0.097084257,-0.02695877
purple_child_face01_y,0.038455971,-0.089983765
purple_child_face02_x,-0.094458949,-0.030704974
purple_child_face02_y,0.039466119,-0.090539141
purple_child_face03_x,-0.091907696,-0.034942173
purple_child_face03_y,0.039870558,-0.091034675
purple_child_face04_x,-0.089689501,-0.039094687
purple_child_face04_y,0.04097448,-0.091845438
purple_child_face05_x,-0.087576155,-0.041981649
purple_child_face05_y,0.042119407,-0.092531722
purple_child_face06_x,-0.08602351,-0.043953199
purple_child_face06_y,0.043685727,-0.093683019
purple_child_face07_x,-0.084785547,-0.04645827
purple_child_face07_y,0.045445624,-0.095929026
purple_child_face08_x,-0.085281152,-0.048684234
purple_child_face08_y,0.046961853,-0.097740755
purple_child_face09_x,-0.087573386,-0.05048509
purple_child_face09_y,0.048212348,-0.100215456
purple_child_face10_x,-0.09035374,-0.051701021
purple_child_face10_y,0.048415066,-0.102164344
purple_child_face11_x,-0.092513086,-0.052616623
purple_child_face11_y,0.048396163,-0.103774279
purple_child_face12_x,-0.094958889,-0.052242361
purple_child_face12_y,0.047881946,-0.10504523
purple_child_face13_x,-0.09695165,-0.050672493
purple_child_face13_y,0.047692035,-0.106003656
purple_child_face14_x,-0.09910418,-0.048982934
purple_child_face14_y,0.04773191,-0.107808818
purple_child_face15_x,-0.10082909,-0.047590715
purple_child_face15_y,0.047360483,-0.108957256
purple_child_face16_x,-0.103481515,-0.044794242
purple_child_face16_y,0.037501912,-0.094877761
purple_child_face17_x,-0.100020797,-0.023379133
purple_child_face17_y,0.037875047,-0.097403055
purple_child_face18_x,-0.101757656,-0.022800126
purple_child_face18_y,0.03894305,-0.100411582
purple_child_face19_x,-0.103410134,-0.023359385
purple_child_face19_y,0.040570968,-0.102905377
purple_child_face20_x,-0.104012915,-0.024446191
purple_child_face20_y,0.042114315,-0.10512805
purple_child_face21_x,-0.104177322,-0.026375989
purple_child_face21_y,0.045384652,-0.110557777
purple_child_face22_x,-0.106292631,-0.030196579
purple_child_face22_y,0.046087105,-0.112680291
purple_child_face23_x,-0.108292143,-0.031456045
purple_child_face23_y,0.046925371,-0.114529227
purple_child_face24_x,-0.109698167,-0.033505082
purple_child_face24_y,0.048184082,-0.115987091
purple_child_face25_x,-0.110627015,-0.036089511
purple_child_face25_y,0.048889342,-0.116124853
purple_child_face26_x,-0.109963838,-0.039692751
purple_child_face26_y,0.044754979,-0.106558714
purple_child_face27_x,-0.103380553,-0.031367759
purple_child_face27_y,0.04472825,-0.106269935
purple_child_face28_x,-0.102066752,-0.0332213
purple_child_face28_y,0.045039927,-0.106208686
purple_child_face29_x,-0.100873827,-0.035020391
purple_child_face29_y,0.045171089,-0.106049968
purple_child_face30_x,-0.099053512,-0.036778959
purple_child_face30_y,0.044134813,-0.10229494
purple_child_face31_x,-0.097090246,-0.037305084
purple_child_face31_y,0.044780849,-0.103443046
