,pptID,fileName,condition,age,gender,nationality,firstLang,trial,clipId,freetext,Competing,Cooperating,PlaySeparate,PlayTogether,leftSad,rightSad,leftHappy,rightHappy,leftAngry,rightAngry,leftExcited,rightExcited,leftCalm,rightCalm,leftFriendly,rightFriendly,leftAggressive,rightAggressive,leftEngaged,rightEngaged,leftDistracted,rightDistracted,leftBored,rightBored,leftFrustrated,rightFrustrated,leftDominant,rightDominant,leftSubmissive,rightSubmissive,diffSad,sumSad,diffHappy,sumHappy,diffAngry,sumAngry,diffExcited,sumExcited,diffCalm,sumCalm,diffFriendly,sumFriendly,diffAggressive,sumAggressive,diffEngaged,sumEngaged,diffDistracted,sumDistracted,diffBored,sumBored,diffFrustrated,sumFrustrated,diffDominant,sumDominant,diffSubmissive,sumSubmissive
594,68,79kinz2fua8zzz_data.csv,1,35,Male,American,English,3,02,"the child on the right was moving his hands on the table alot, almost like he was playing with a toy car",2,2,2,3,1,1,2,3,1,1,2,3,3,2,3,3,1,2,2,3,2,1,1,1,1,1,1,3,2,1,0,-2,1,1,0,-2,1,1,1,1,0,2,1,-1,1,1,1,-1,0,-2,0,-2,2,0,1,-1
595,68,79kinz2fua8zzz_data.csv,1,35,Male,American,English,4,18,the child on the right seemed to be giving something to the child on the left,2,3,1,3,1,1,3,3,1,1,2,3,3,2,3,3,1,1,3,3,2,1,1,1,1,1,1,3,2,1,0,-2,0,2,0,-2,1,1,1,1,0,2,0,-2,0,2,1,-1,0,-2,0,-2,2,0,1,-1
596,5,7kinl3yzmn6ll_data.csv,1,43,Female,American,English,1,06,"They didn't seem to interact with each other too much. Occasionally, their hands touched. They interacted with the touch screen more than each other though.",3,2,3,1,2,2,2,2,1,1,2,3,2,2,2,2,1,2,3,4,1,1,1,1,2,1,1,3,1,1,0,0,0,0,0,-2,1,1,0,0,0,0,1,-1,1,3,0,-2,0,-2,1,-1,2,0,0,-2
597,5,7kinl3yzmn6ll_data.csv,1,43,Female,American,English,2,09,At first it seemed like the child on the right was distracted by something else. It seemed like the children were interacting a bit with each other.,1,1,1,3,2,2,3,3,1,1,2,2,3,3,3,3,1,1,3,2,1,3,2,2,1,3,1,1,1,1,0,0,0,2,0,-2,0,0,0,2,0,2,0,-2,1,1,2,0,0,0,2,0,0,-2,0,-2
598,5,7kinl3yzmn6ll_data.csv,1,43,Female,American,English,3,01,They had their hands in pretty much the same spot most of the time. It seemed like they were competing with each other.,4,2,1,3,1,1,2,2,2,2,3,3,1,1,2,2,3,3,4,4,1,1,1,1,1,1,2,2,1,1,0,-2,0,0,0,0,0,2,0,-2,0,0,0,2,0,4,0,-2,0,-2,0,-2,0,0,0,-2
599,5,7kinl3yzmn6ll_data.csv,1,43,Female,American,English,4,05,They were playing separately. The child on the left was watching the child on the right.,1,2,3,2,3,1,1,3,1,1,1,3,3,1,2,2,1,2,2,3,2,1,3,1,2,1,1,3,3,1,2,0,2,0,0,-2,2,0,2,0,0,0,1,-1,1,1,1,-1,2,0,1,-1,2,0,2,0
616,54,82kinere02bgb9_data.csv,1,28,Male,American,English,1,12,The children seemed to be cooperating with each other by pointing out something to help the other,0,4,0,4,0,0,3,3,0,0,2,2,3,3,4,4,0,0,4,4,0,0,0,0,2,2,0,0,0,0,0,-4,0,2,0,-4,0,0,0,2,0,4,0,-4,0,4,0,-4,0,-4,0,0,0,-4,0,-4
617,54,82kinere02bgb9_data.csv,1,28,Male,American,English,2,19,The child on the left seems to be more submissive than the one on the right,1,1,3,1,2,2,2,1,1,2,0,0,3,1,2,1,0,3,3,4,1,1,3,1,2,3,0,4,4,0,0,0,1,-1,1,-1,0,-4,2,0,1,-1,3,-1,1,3,0,-2,2,0,1,1,4,0,4,0
618,54,82kinere02bgb9_data.csv,1,28,Male,American,English,3,20,The child on the left was way more engaged in the game and the one on the right may have made a mistake,2,4,1,3,0,0,4,2,0,2,4,3,0,3,2,2,4,1,4,1,0,3,0,3,0,3,4,0,0,3,0,-4,2,2,2,-2,1,3,3,-1,0,0,3,1,3,1,3,-1,3,-1,3,-1,4,0,3,-1
619,54,82kinere02bgb9_data.csv,1,28,Male,American,English,4,14,It's hard to tell if the children are competing or cooperating. It seems like the one on the right is a little more dominant. Both are very engaged in the game.,2,2,1,3,2,2,2,2,0,0,2,2,3,3,3,3,1,3,4,4,0,0,0,0,0,0,1,3,3,1,0,0,0,0,0,-4,0,0,0,2,0,2,2,0,0,4,0,-4,0,-4,0,-4,2,0,2,0
