,pptID,fileName,condition,age,gender,nationality,firstLang,trial,clipId,freetext,Competing,Cooperating,PlaySeparate,PlayTogether,leftSad,rightSad,leftHappy,rightHappy,leftAngry,rightAngry,leftExcited,rightExcited,leftCalm,rightCalm,leftFriendly,rightFriendly,leftAggressive,rightAggressive,leftEngaged,rightEngaged,leftDistracted,rightDistracted,leftBored,rightBored,leftFrustrated,rightFrustrated,leftDominant,rightDominant,leftSubmissive,rightSubmissive,diffSad,sumSad,diffHappy,sumHappy,diffAngry,sumAngry,diffExcited,sumExcited,diffCalm,sumCalm,diffFriendly,sumFriendly,diffAggressive,sumAggressive,diffEngaged,sumEngaged,diffDistracted,sumDistracted,diffBored,sumBored,diffFrustrated,sumFrustrated,diffDominant,sumDominant,diffSubmissive,sumSubmissive
690,65,8king9hbhgmqn_data.csv,1,38,Female,American,English,3,05,they seemed to be interacting independently although they are across from each other,2,2,3,2,3,1,1,3,2,1,1,3,3,3,1,3,1,1,2,3,2,2,3,1,2,2,1,3,3,1,2,0,2,0,1,-1,2,0,0,2,2,0,0,-2,1,1,0,0,2,0,0,0,2,0,2,0
691,65,8king9hbhgmqn_data.csv,1,38,Female,American,English,4,16,they seemed to be interacting with each other and playing a game ,2,3,1,3,2,2,2,2,2,2,3,1,1,3,2,2,3,1,3,3,2,2,1,1,2,2,3,1,1,3,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,-2,0,0,2,0,2,0
696,7,8kinjthht19xu_data.csv,1,36,Female,American,English,1,02,It looked like they were coloring and sharing crayons. They looked like they were getting a long and sharing quite well. ,1,3,0,4,2,2,3,3,0,1,2,2,1,1,3,3,0,0,4,4,1,1,1,1,1,2,2,2,2,2,0,0,0,2,1,-3,0,0,0,-2,0,2,0,-4,0,4,0,-2,0,-2,1,-1,0,0,0,0
697,7,8kinjthht19xu_data.csv,1,36,Female,American,English,2,11,I noticed the child on the left stood up and maybe was a little frustrated. The child on the right stayed seated the whole time. ,2,2,1,4,2,2,2,3,3,1,2,2,1,3,2,2,3,1,2,3,1,1,2,1,3,1,3,1,1,3,0,0,1,1,2,0,0,0,2,0,0,0,2,0,1,1,0,-2,1,-1,2,0,2,0,2,0
698,7,8kinjthht19xu_data.csv,1,36,Female,American,English,3,03,The children both seemed content with whatever activity they were participating in. ,2,3,1,4,1,1,3,3,1,1,3,3,1,1,3,3,1,1,4,4,0,0,0,0,3,1,2,2,2,2,0,-2,0,2,0,-2,0,2,0,-2,0,2,0,-2,0,4,0,-4,0,-4,2,0,0,0,0,0
699,7,8kinjthht19xu_data.csv,1,36,Female,American,English,4,14,It seemed the child on the right was more dominant in whatever activity the children were partaking in. ,2,3,1,2,2,2,2,3,1,1,1,3,3,2,2,2,1,1,2,4,3,0,3,1,1,1,1,3,2,3,0,0,1,1,0,-2,2,0,1,1,0,0,0,-2,2,2,3,-1,2,0,0,-2,2,0,1,1
716,191,93kin8h8rpptvy_data.csv,1,42,Male,American,English,1,04,I noticed them first reaching into a box and placing something in the table in front of them.  Then I noticed them interacting with the item on the table they took from the box.,2,2,1,3,2,2,2,2,1,1,2,2,2,2,2,2,1,1,3,3,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,-2,0,2,0,-2,0,-2,0,-2,0,0,0,-2
717,191,93kin8h8rpptvy_data.csv,1,42,Male,American,English,2,17,I noticed the one was laughing on the left while the right one only laughed one time.,1,2,1,3,1,1,3,3,1,1,1,1,2,2,3,3,1,1,3,3,1,1,1,1,1,1,1,2,1,1,0,-2,0,2,0,-2,0,-2,0,0,0,2,0,-2,0,2,0,-2,0,-2,0,-2,1,-1,0,-2
718,191,93kin8h8rpptvy_data.csv,1,42,Male,American,English,3,05,I noticed the child on the right was playing with something on the table while the child on the left seemed bored.,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,2,2,2,1,3,1,3,3,1,1,1,1,3,1,1,0,-2,2,0,0,-2,0,-2,0,-2,0,0,0,0,2,0,2,0,2,0,0,-2,2,0,0,-2
719,191,93kin8h8rpptvy_data.csv,1,42,Male,American,English,4,03,I noticed that they both seemed to be enjoying the time and were interacting with each other.,1,3,1,3,1,1,3,3,1,1,3,2,1,1,3,3,1,1,3,3,3,3,1,1,1,1,1,1,2,2,0,-2,0,2,0,-2,1,1,0,-2,0,2,0,-2,0,2,0,2,0,-2,0,-2,0,-2,0,0
